Date,Description,Amount
20/03/2023,SUBWAY,-421.28
20/03/2023,CAFE COFFEE DAY,-531.46
20/03/2023,IMPS PAYMENT,-2637.91
21/03/2023,TACO BELL,-496.05
21/03/2023,DOORDASH,-396.48
22/03/2023,FASTAG RECHARGE,-295.84
22/03/2023,INDIAN OIL,-259.93
23/03/2023,MCDONALDS,-471.88
24/03/2023,RELIANCE FRESH,-2009.95
25/03/2023,PIZZA HUT,-443.79
25/03/2023,H&M,-3056.33
25/03/2023,IMPS PAYMENT,-3829.59
27/03/2023,REDBUS,-475.71
27/03/2023,DECATHLON,-1614.46
01/04/2023,DIVIDEND PAYOUT,88392.94
01/04/2023,BEST BUY,-1583.31
02/04/2023,DMART,-1455.85
03/04/2023,APARTMENT RENT,-22929.43
05/04/2023,HOTSTAR,-519.64
05/04/2023,IRCTC TRAIN,-234.51
08/04/2023,HBO MAX,-192.87
08/04/2023,CAFE COFFEE DAY,-465.46
08/04/2023,UBER TRIP,-475.78
09/04/2023,ZOMATO,-398.05
10/04/2023,LIDL,-2312.3
11/04/2023,HP PETROL PUMP,-342.54
11/04/2023,DELHI METRO,-258.93
12/04/2023,HOTSTAR,-1541.88
12/04/2023,INDIAN OIL,-212.4
13/04/2023,REDBUS,-324.28
15/04/2023,HBO MAX,-674.17
15/04/2023,SWIGGY ORDER,-570.03
16/04/2023,FLIPKART,-1641.58
17/04/2023,BIG BAZAAR,-1916.76
17/04/2023,PANERA BREAD,-439.98
18/04/2023,COMCAST XFINITY,-2633.53
21/04/2023,ZOMATO,-511.61
23/04/2023,PUBLIX,-1573.82
25/04/2023,CROMA ELECTRONICS,-2117.07
26/04/2023,STARBUCKS,-555.54
27/04/2023,ACCOUNT TRANSFER,-4101.51
28/04/2023,DUNKIN,-555.83
28/04/2023,UBER EATS,-565.26
28/04/2023,DOMINOS PIZZA,-398.19
01/05/2023,PAYROLL DEPOSIT,90612.9
01/05/2023,SWIGGY ORDER,-383.28
01/05/2023,KFC,-394.77
02/05/2023,BP PETROL,-248.78
02/05/2023,APPLE STORE,-1648.92
03/05/2023,MONTHLY RENT PAYMENT,-23074.09
03/05/2023,UBER EATS,-494.04
04/05/2023,SAFEWAY STORE,-2185.71
05/05/2023,NETFLIX,-515.34
05/05/2023,UBER TRIP,-260.7
05/05/2023,IRCTC TRAIN,-332.29
06/05/2023,DELHI METRO,-219.23
07/05/2023,UBER TRIP,-246.42
08/05/2023,GYM MEMBERSHIP,-209.64
09/05/2023,DUNKIN,-398.61
10/05/2023,H&M,-1735.16
11/05/2023,TRADER JOES,-1917.42
12/05/2023,HOTSTAR,-1585.87
12/05/2023,LYFT RIDE,-346.74
13/05/2023,BEST BUY,-2695.73
15/05/2023,HOTSTAR,-699.62
17/05/2023,SAFEWAY STORE,-1574.64
18/05/2023,ELECTRICITY BOARD,-2661.58
18/05/2023,UBER EATS,-724.45
21/05/2023,PIZZA HUT,-492.83
21/05/2023,APPLE STORE,-1877.89
22/05/2023,CHIPOTLE,-438.62
22/05/2023,HP PETROL PUMP,-324.0
24/05/2023,TACO BELL,-401.9
25/05/2023,BIG BAZAAR,-2034.93
27/05/2023,DELHI METRO,-235.67
28/05/2023,CHIPOTLE,-534.33
28/05/2023,ZELLE TRANSFER,-3314.21
01/06/2023,INTEREST CREDIT,89891.58
02/06/2023,PARKING FEE,-256.64
03/06/2023,LANDLORD RENT,-23585.99
03/06/2023,METRO CARD RECHARGE,-289.6
04/06/2023,BIG BAZAAR,-1769.46
05/06/2023,ADOBE CREATIVE CLOUD,-527.99
05/06/2023,CAFE COFFEE DAY,-542.76
05/06/2023,INDIAN OIL,-285.4
07/06/2023,GOOGLE PAY SENT,-3229.83
08/06/2023,ICLOUD STORAGE,-188.47
08/06/2023,DELHI METRO,-277.75
08/06/2023,MYNTRA,-1789.92
09/06/2023,TRADER JOES,-1168.95
09/06/2023,TACO BELL,-452.55
12/06/2023,HOTSTAR,-1601.18
13/06/2023,CHIPOTLE,-386.24
13/06/2023,APPLE STORE,-1975.67
15/06/2023,ICLOUD STORAGE,-686.96
15/06/2023,DOORDASH,-435.28
15/06/2023,STARBUCKS,-453.2
15/06/2023,DELHI METRO,-388.8
16/06/2023,H&M,-1640.64
17/06/2023,STARBUCKS,-428.12
18/06/2023,WATER UTILITY,-2759.21
18/06/2023,ALDI,-2252.34
20/06/2023,DOMINOS PIZZA,-427.26
21/06/2023,PARKING FEE,-249.83
21/06/2023,BEST BUY,-2085.03
23/06/2023,CHIPOTLE,-535.17
23/06/2023,GOOGLE PAY SENT,-2388.13
24/06/2023,ALDI,-2086.15
24/06/2023,SWIGGY ORDER,-447.62
26/06/2023,TACO BELL,-415.88
01/07/2023,ACME CORP SALARY,91105.02
03/07/2023,LANDLORD RENT,-23794.7
03/07/2023,ALDI,-1850.15
03/07/2023,MCDONALDS,-381.94
03/07/2023,H&M,-1612.86
05/07/2023,AMAZON PRIME,-549.55
05/07/2023,KFC,-718.8
05/07/2023,VENMO PAYMENT,-4129.79
08/07/2023,SPOTIFY PREMIUM,-222.68
10/07/2023,PUBLIX,-1623.82
10/07/2023,ZOMATO,-528.13
10/07/2023,LYFT RIDE,-208.77
10/07/2023,EBAY PURCHASE,-1864.48
11/07/2023,TACO BELL,-459.77
11/07/2023,H&M,-2198.02
12/07/2023,HBO MAX,-1600.01
12/07/2023,ZOMATO,-379.46
14/07/2023,REDBUS,-236.86
15/07/2023,ICLOUD STORAGE,-688.21
15/07/2023,LYFT RIDE,-299.1
16/07/2023,COSTCO WHOLESALE,-1793.54
17/07/2023,PIZZA HUT,-431.3
17/07/2023,SWIGGY ORDER,-489.04
18/07/2023,MUNICIPAL WATER TAX,-2221.08
18/07/2023,LYFT RIDE,-229.38
20/07/2023,IMPS PAYMENT,-3733.6
23/07/2023,LIDL,-1373.54
25/07/2023,DOMINOS PIZZA,-507.43
26/07/2023,DOORDASH,-488.67
26/07/2023,PANERA BREAD,-438.11
27/07/2023,DELHI METRO,-216.1
28/07/2023,LYFT RIDE,-236.52
01/08/2023,MONTHLY SALARY,91942.59
02/08/2023,ZOMATO,-447.31
03/08/2023,PG ACCOMMODATION RENT,-23947.75
03/08/2023,DUNKIN,-494.03
04/08/2023,TESCO,-2030.61
04/08/2023,SUBWAY,-436.0
04/08/2023,PARKING FEE,-401.27
05/08/2023,ICLOUD STORAGE,-554.27
07/08/2023,CHIPOTLE,-483.61
07/08/2023,REDBUS,-203.82
07/08/2023,BEST BUY,-1872.17
08/08/2023,NETFLIX,-223.38
08/08/2023,LYFT RIDE,-286.64
10/08/2023,METRO CARD RECHARGE,-234.21
11/08/2023,WALMART GROCERY,-2267.13
12/08/2023,SPOTIFY PREMIUM,-1613.25
12/08/2023,CHIPOTLE,-442.17
14/08/2023,SHELL FUEL,-262.97
15/08/2023,GYM MEMBERSHIP,-719.5
15/08/2023,IRCTC TRAIN,-300.46
16/08/2023,ZARA,-1768.15
17/08/2023,COSTCO WHOLESALE,-2191.87
17/08/2023,UBER EATS,-389.19
17/08/2023,IRCTC TRAIN,-195.77
18/08/2023,AIRTEL POSTPAID,-2682.32
20/08/2023,CHIPOTLE,-527.21
24/08/2023,DMART,-1749.53
24/08/2023,CAFE COFFEE DAY,-566.7
24/08/2023,INDIAN OIL,-290.12
26/08/2023,ZOMATO,-422.59
27/08/2023,H&M,-2200.43
28/08/2023,PARKING FEE,-329.95
28/08/2023,NEFT TRANSFER,-3394.76
01/09/2023,CONSULTING INCOME,91658.05
01/09/2023,IKEA,-2517.97
03/09/2023,LANDLORD RENT,-24242.52
04/09/2023,COSTCO WHOLESALE,-1961.44
04/09/2023,AJIO,-2816.02
05/09/2023,GYM MEMBERSHIP,-539.52
05/09/2023,EBAY PURCHASE,-1778.42
08/09/2023,AUDIBLE,-226.38
09/09/2023,HP PETROL PUMP,-216.63
11/09/2023,BIG BAZAAR,-2471.49
11/09/2023,SWIGGY ORDER,-479.07
12/09/2023,SPOTIFY PREMIUM,-1647.65
12/09/2023,INDIAN OIL,-236.62
13/09/2023,DOMINOS PIZZA,-420.14
15/09/2023,ADOBE CREATIVE CLOUD,-725.48
17/09/2023,LIDL,-2434.14
17/09/2023,DOMINOS PIZZA,-405.38
17/09/2023,UBER EATS,-487.11
17/09/2023,UPI TRANSFER,-2527.49
18/09/2023,AIRTEL POSTPAID,-2290.45
19/09/2023,FASTAG RECHARGE,-306.15
20/09/2023,UBER EATS,-424.29
20/09/2023,DUNKIN,-427.53
22/09/2023,BP PETROL,-269.41
22/09/2023,CROMA ELECTRONICS,-1701.51
23/09/2023,CHIPOTLE,-383.62
23/09/2023,UBER TRIP,-291.55
23/09/2023,AJIO,-1983.45
23/09/2023,IMPS PAYMENT,-5334.21
24/09/2023,TRADER JOES,-1749.87
24/09/2023,UBER TRIP,-217.94
26/09/2023,DOORDASH,-514.41
26/09/2023,FASTAG RECHARGE,-256.65
26/09/2023,SHELL FUEL,-313.76
27/09/2023,CAFE COFFEE DAY,-416.68
28/09/2023,IRCTC TRAIN,-205.22
01/10/2023,DIVIDEND PAYOUT,93160.69
02/10/2023,APPLE STORE,-1840.08
03/10/2023,PG ACCOMMODATION RENT,-24353.46
03/10/2023,CROMA ELECTRONICS,-2038.89
04/10/2023,DMART,-1585.34
05/10/2023,HOTSTAR,-533.04
05/10/2023,OLA CABS,-262.6
06/10/2023,UPI TRANSFER,-4487.73
07/10/2023,UBER EATS,-432.7
08/10/2023,AUDIBLE,-239.9
08/10/2023,METRO CARD RECHARGE,-218.57
09/10/2023,ALDI,-2189.39
10/10/2023,MCDONALDS,-474.3
11/10/2023,FASTAG RECHARGE,-221.97
12/10/2023,HBO MAX,-1655.21
12/10/2023,DUNKIN,-543.5
14/10/2023,IRCTC TRAIN,-305.77
15/10/2023,MICROSOFT 365,-728.87
16/10/2023,ALDI,-1940.84
16/10/2023,CHIPOTLE,-564.19
16/10/2023,KFC,-468.36
16/10/2023,UBER TRIP,-324.1
18/10/2023,AIRTEL POSTPAID,-2507.08
18/10/2023,SUBWAY,-583.29
18/10/2023,LYFT RIDE,-290.67
19/10/2023,SWIGGY ORDER,-439.97
20/10/2023,UBER TRIP,-203.25
21/10/2023,AJIO,-3182.86
22/10/2023,REDBUS,-265.89
23/10/2023,MCDONALDS,-481.41
24/10/2023,DMART,-1887.39
24/10/2023,EBAY PURCHASE,-2196.83
25/10/2023,SUBWAY,-421.25
25/10/2023,DECATHLON,-2433.91
27/10/2023,CHIPOTLE,-492.83
01/11/2023,INTEREST CREDIT,95952.54
02/11/2023,LYFT RIDE,-251.35
03/11/2023,HOUSE RENT TRANSFER,-24662.76
03/11/2023,RELIANCE FRESH,-2119.01
04/11/2023,CHIPOTLE,-418.32
04/11/2023,INDIAN OIL,-339.27
05/11/2023,NETFLIX,-551.89
08/11/2023,SPOTIFY PREMIUM,-237.37
08/11/2023,STARBUCKS,-452.59
08/11/2023,IRCTC TRAIN,-300.59
09/11/2023,SUBWAY,-489.16
10/11/2023,ALDI,-1929.97
10/11/2023,DOORDASH,-572.48
10/11/2023,FASTAG RECHARGE,-289.05
11/11/2023,SUBWAY,-479.22
12/11/2023,ICLOUD STORAGE,-1679.72
13/11/2023,MCDONALDS,-459.17
13/11/2023,TACO BELL,-519.85
13/11/2023,HP PETROL PUMP,-289.18
14/11/2023,APPLE STORE,-2271.22
15/11/2023,AUDIBLE,-720.75
16/11/2023,SPROUTS FARMERS MKT,-2096.91
17/11/2023,DELHI METRO,-368.3
17/11/2023,NEFT TRANSFER,-4210.06
18/11/2023,AT&T WIRELESS,-3275.14
18/11/2023,APPLE STORE,-3578.02
20/11/2023,SHELL FUEL,-365.3
21/11/2023,PANERA BREAD,-466.47
22/11/2023,CAFE COFFEE DAY,-395.41
22/11/2023,DECATHLON,-2377.32
23/11/2023,PIZZA HUT,-468.49
23/11/2023,SHELL FUEL,-232.58
24/11/2023,COSTCO WHOLESALE,-1807.1
24/11/2023,INDIAN OIL,-264.47
24/11/2023,PARKING FEE,-228.77
25/11/2023,ZARA,-3035.83
01/12/2023,PAYROLL DEPOSIT,96629.79
01/12/2023,ZARA,-1717.69
02/12/2023,PANERA BREAD,-437.8
03/12/2023,PG ACCOMMODATION RENT,-25078.89
03/12/2023,LIDL,-2288.91
03/12/2023,UBER EATS,-452.0
05/12/2023,DISNEY PLUS,-570.26
05/12/2023,HP PETROL PUMP,-315.94
05/12/2023,UBER TRIP,-212.62
07/12/2023,CROMA ELECTRONICS,-2689.9
08/12/2023,ICLOUD STORAGE,-219.48
09/12/2023,DMART,-2199.18
10/12/2023,PIZZA HUT,-568.86
10/12/2023,METRO CARD RECHARGE,-343.32
12/12/2023,AUDIBLE,-1694.02
13/12/2023,ZOMATO,-422.42
13/12/2023,REDBUS,-407.06
13/12/2023,REDBUS,-249.88
15/12/2023,MICROSOFT 365,-719.83
15/12/2023,UPI TRANSFER,-2558.93
16/12/2023,WALMART GROCERY,-1762.36
16/12/2023,STARBUCKS,-414.33
18/12/2023,ELECTRICITY BOARD,-2824.73
18/12/2023,METRO CARD RECHARGE,-236.8
19/12/2023,DUNKIN,-509.15
20/12/2023,APPLE STORE,-2765.07
21/12/2023,DUNKIN,-507.5
21/12/2023,PANERA BREAD,-509.44
24/12/2023,STARBUCKS,-487.3
24/12/2023,KFC,-408.74
25/12/2023,DMART,-2014.64
25/12/2023,UBER TRIP,-267.03
25/12/2023,IKEA,-2941.91
27/12/2023,LYFT RIDE,-216.5
28/12/2023,REDBUS,-236.29
01/01/2024,DIVIDEND PAYOUT,97247.96
03/01/2024,APARTMENT RENT,-25213.1
03/01/2024,SAFEWAY STORE,-1908.18
03/01/2024,UBER TRIP,-370.96
05/01/2024,HBO MAX,-552.28
05/01/2024,METRO CARD RECHARGE,-254.64
07/01/2024,ZELLE TRANSFER,-5001.68
07/01/2024,NEFT TRANSFER,-5542.07
08/01/2024,NETFLIX,-222.92
08/01/2024,CAFE COFFEE DAY,-541.28
08/01/2024,PIZZA HUT,-459.38
08/01/2024,OLA CABS,-208.45
09/01/2024,METRO CARD RECHARGE,-243.5
10/01/2024,RELIANCE FRESH,-2578.47
10/01/2024,ZOMATO,-543.89
10/01/2024,UPI TRANSFER,-2390.81
12/01/2024,DISNEY PLUS,-1737.97
13/01/2024,SWIGGY ORDER,-423.85
14/01/2024,CHIPOTLE,-435.32
14/01/2024,DOMINOS PIZZA,-502.89
15/01/2024,MICROSOFT 365,-771.59
15/01/2024,PANERA BREAD,-579.1
15/01/2024,INDIAN OIL,-286.47
16/01/2024,BIG BAZAAR,-1548.07
18/01/2024,MUNICIPAL WATER TAX,-2512.52
18/01/2024,REDBUS,-285.63
21/01/2024,TACO BELL,-551.56
21/01/2024,TACO BELL,-413.18
24/01/2024,TESCO,-2009.01
24/01/2024,DECATHLON,-2434.16
28/01/2024,ZARA,-3175.33
01/02/2024,DIVIDEND PAYOUT,97472.77
01/02/2024,SUBWAY,-437.09
01/02/2024,H&M,-1843.48
02/02/2024,DOMINOS PIZZA,-483.0
02/02/2024,OLA CABS,-221.81
03/02/2024,APARTMENT RENT,-25630.73
03/02/2024,DMART,-1751.71
05/02/2024,ADOBE CREATIVE CLOUD,-567.71
05/02/2024,HP PETROL PUMP,-341.34
07/02/2024,CAFE COFFEE DAY,-461.02
08/02/2024,HBO MAX,-242.66
08/02/2024,ZOMATO,-507.44
08/02/2024,SHELL FUEL,-254.96
09/02/2024,LIDL,-2480.42
10/02/2024,DOMINOS PIZZA,-467.52
12/02/2024,YOUTUBE PREMIUM,-1725.4
12/02/2024,PARKING FEE,-327.19
15/02/2024,ICLOUD STORAGE,-740.95
15/02/2024,DOMINOS PIZZA,-440.51
16/02/2024,ZOMATO,-572.74
16/02/2024,LYFT RIDE,-260.72
16/02/2024,HP PETROL PUMP,-255.63
16/02/2024,METRO CARD RECHARGE,-318.48
17/02/2024,IRCTC TRAIN,-229.41
17/02/2024,IMPS PAYMENT,-2348.68
18/02/2024,AIRTEL POSTPAID,-2942.76
18/02/2024,SAFEWAY STORE,-1611.17
18/02/2024,SWIGGY ORDER,-549.4
18/02/2024,SUBWAY,-507.47
18/02/2024,REDBUS,-433.64
24/02/2024,KROGER,-2171.95
24/02/2024,DUNKIN,-424.98
24/02/2024,AMAZON ORDER,-2117.8
25/02/2024,CAFE COFFEE DAY,-555.17
26/02/2024,NEFT TRANSFER,-2876.03
27/02/2024,METRO CARD RECHARGE,-283.3
27/02/2024,ACCOUNT TRANSFER,-6081.76
01/03/2024,FREELANCE PAYMENT,99343.1
01/03/2024,DELHI METRO,-326.45
02/03/2024,FLIPKART,-2286.76
03/03/2024,HOUSE RENT TRANSFER,-25904.27
04/03/2024,PUBLIX,-2548.59
04/03/2024,PANERA BREAD,-493.82
05/03/2024,ICLOUD STORAGE,-581.56
08/03/2024,ADOBE CREATIVE CLOUD,-244.11
09/03/2024,STARBUCKS,-533.41
11/03/2024,BIG BAZAAR,-2109.07
11/03/2024,METRO CARD RECHARGE,-287.26
12/03/2024,MICROSOFT 365,-1742.4
14/03/2024,CAFE COFFEE DAY,-474.83
15/03/2024,DISNEY PLUS,-761.42
16/03/2024,CAFE COFFEE DAY,-414.51
17/03/2024,RELIANCE FRESH,-1991.83
17/03/2024,PANERA BREAD,-484.56
18/03/2024,WATER UTILITY,-2687.28
19/03/2024,MCDONALDS,-445.42
19/03/2024,SHELL FUEL,-231.72
19/03/2024,REDBUS,-255.56
20/03/2024,ACCOUNT TRANSFER,-2627.95
22/03/2024,PANERA BREAD,-414.48
24/03/2024,TRADER JOES,-2134.73
24/03/2024,TARGET,-1856.48
25/03/2024,GOOGLE PAY SENT,-2982.04
26/03/2024,H&M,-3192.68
27/03/2024,FASTAG RECHARGE,-238.94
27/03/2024,LYFT RIDE,-239.15
28/03/2024,DUNKIN,-450.98
28/03/2024,INDIAN OIL,-278.76
01/04/2024,DIVIDEND PAYOUT,101306.31
01/04/2024,MCDONALDS,-463.41
02/04/2024,LIDL,-2096.46
03/04/2024,LANDLORD RENT,-25986.07
03/04/2024,DUNKIN,-422.61
03/04/2024,BP PETROL,-248.35
03/04/2024,FASTAG RECHARGE,-351.41
05/04/2024,ADOBE CREATIVE CLOUD,-603.65
05/04/2024,BEST BUY,-3404.32
06/04/2024,SWIGGY ORDER,-468.59
06/04/2024,ACCOUNT TRANSFER,-3396.74
08/04/2024,ADOBE CREATIVE CLOUD,-240.98
10/04/2024,UBER TRIP,-279.04
11/04/2024,TRADER JOES,-2366.89
11/04/2024,CAFE COFFEE DAY,-467.05
11/04/2024,NIKE STORE,-2875.84
11/04/2024,GOOGLE PAY SENT,-2595.19
12/04/2024,SPOTIFY PREMIUM,-1783.23
12/04/2024,MCDONALDS,-416.97
12/04/2024,PIZZA HUT,-565.47
13/04/2024,PIZZA HUT,-536.65
13/04/2024,DELHI METRO,-274.25
14/04/2024,ZARA,-2483.04
15/04/2024,DISNEY PLUS,-768.37
15/04/2024,MCDONALDS,-547.71
15/04/2024,TARGET,-2858.91
16/04/2024,LYFT RIDE,-245.92
16/04/2024,DELHI METRO,-275.16
17/04/2024,DOMINOS PIZZA,-599.19
18/04/2024,WATER UTILITY,-2666.27
18/04/2024,WHOLE FOODS MKT,-1942.15
18/04/2024,DOORDASH,-687.74
20/04/2024,LYFT RIDE,-286.41
21/04/2024,IRCTC TRAIN,-378.04
22/04/2024,SUBWAY,-461.03
23/04/2024,ALDI,-2275.17
01/05/2024,ACME CORP SALARY,102511.21
01/05/2024,IMPS PAYMENT,-3264.99
02/05/2024,PARKING FEE,-285.04
03/05/2024,LANDLORD RENT,-26168.16
03/05/2024,FLIPKART,-1802.92
04/05/2024,PUBLIX,-2257.7
04/05/2024,PIZZA HUT,-456.52
04/05/2024,NIKE STORE,-2783.96
05/05/2024,ICLOUD STORAGE,-603.4
08/05/2024,GYM MEMBERSHIP,-248.8
08/05/2024,TACO BELL,-478.84
11/05/2024,WHOLE FOODS MKT,-2578.24
11/05/2024,DELHI METRO,-296.19
11/05/2024,NIKE STORE,-1969.17
12/05/2024,AUDIBLE,-1796.88
12/05/2024,BP PETROL,-317.89
13/05/2024,FASTAG RECHARGE,-346.7
14/05/2024,CHIPOTLE,-621.51
14/05/2024,SHELL FUEL,-246.81
15/05/2024,NETFLIX,-783.48
15/05/2024,INDIAN OIL,-263.49
17/05/2024,ALDI,-2081.92
17/05/2024,FASTAG RECHARGE,-239.89
17/05/2024,SHELL FUEL,-342.85
17/05/2024,LYFT RIDE,-245.79
18/05/2024,COMCAST XFINITY,-3169.9
19/05/2024,PANERA BREAD,-533.02
20/05/2024,ZOMATO,-471.42
21/05/2024,DELHI METRO,-254.57
23/05/2024,ALDI,-2024.45
23/05/2024,ZOMATO,-520.58
23/05/2024,PANERA BREAD,-474.68
23/05/2024,UPI TRANSFER,-2534.61
26/05/2024,MCDONALDS,-583.73
26/05/2024,NIKE STORE,-2064.72
26/05/2024,NEFT TRANSFER,-2164.66
27/05/2024,BEST BUY,-2251.32
28/05/2024,DUNKIN,-500.46
01/06/2024,ACME CORP SALARY,101401.28
03/06/2024,HOUSE RENT TRANSFER,-26298.9
03/06/2024,SAFEWAY STORE,-2506.41
04/06/2024,SHELL FUEL,-288.86
05/06/2024,AUDIBLE,-599.27
06/06/2024,IRCTC TRAIN,-283.75
07/06/2024,CAFE COFFEE DAY,-511.7
07/06/2024,EBAY PURCHASE,-1902.72
08/06/2024,HBO MAX,-227.6
10/06/2024,TESCO,-2230.13
10/06/2024,LYFT RIDE,-281.28
10/06/2024,NIKE STORE,-2303.5
12/06/2024,ADOBE CREATIVE CLOUD,-1810.78
12/06/2024,CHIPOTLE,-566.57
12/06/2024,DOMINOS PIZZA,-500.78
13/06/2024,NIKE STORE,-2846.53
14/06/2024,METRO CARD RECHARGE,-313.47
14/06/2024,IMPS PAYMENT,-2402.68
15/06/2024,LINKEDIN PREMIUM,-777.3
16/06/2024,UBER EATS,-446.07
17/06/2024,SAFEWAY STORE,-1868.15
17/06/2024,METRO CARD RECHARGE,-275.05
18/06/2024,VODAFONE BILL,-2796.09
18/06/2024,LYFT RIDE,-263.69
19/06/2024,DOMINOS PIZZA,-616.66
19/06/2024,MCDONALDS,-531.12
20/06/2024,INDIAN OIL,-330.12
20/06/2024,AMAZON ORDER,-2409.66
21/06/2024,SWIGGY ORDER,-467.58
21/06/2024,LYFT RIDE,-413.04
22/06/2024,GOOGLE PAY SENT,-2401.06
24/06/2024,LIDL,-2418.3
27/06/2024,TACO BELL,-527.84
28/06/2024,MYNTRA,-1885.03
