SAMPLE STATEMENT - SYNTHETIC DATA, NOT A REAL ACCOUNT
Generated by scripts/make_sample_statement.py for the ExpenseEye demo
Period: 01/01/2025 to 31/08/2025

Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
19/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,515054748,19/01/25,1878.0,,125824.0
19/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,114184742,19/01/25,963.0,,124861.0
20/01/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,374102109,20/01/25,151.0,,124710.0
20/01/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,180322828,20/01/25,267.0,,124443.0
21/01/25,BILLPAY-SURAKSHA HEALTH INSURANCE,439523047,21/01/25,3200.0,,121243.0
21/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,693241286,21/01/25,1316.0,,119927.0
22/01/25,ATM WDL 4218XXXX9031 INDIRANAGAR,511191804,22/01/25,2841.0,,117086.0
22/01/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,600603966,22/01/25,67.0,,117019.0
22/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,899581212,22/01/25,445.0,,116574.0
23/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,336820282,23/01/25,1573.0,,115001.0
23/01/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,594868241,23/01/25,522.0,,114479.0
24/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,751054039,24/01/25,1683.0,,112796.0
25/01/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,468507896,25/01/25,337.0,,112459.0
25/01/25,ATM WDL 4218XXXX9031 INDIRANAGAR,557825585,25/01/25,2001.0,,110458.0
26/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,106045652,26/01/25,2422.0,,108036.0
26/01/25,ATM WDL 4218XXXX9031 INDIRANAGAR,537365111,26/01/25,710.0,,107326.0
26/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,263768084,26/01/25,1260.0,,106066.0
27/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,269680161,27/01/25,702.0,,105364.0
28/01/25,SALARY CREDIT-ACME TECHNOLOGIES PVT LTD,981519130,28/01/25,,96000.0,201364.0
28/01/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,592045742,28/01/25,1476.0,,199888.0
28/01/25,ATM WDL 4218XXXX9031 INDIRANAGAR,526013482,28/01/25,776.0,,199112.0
28/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,236630867,28/01/25,1061.0,,198051.0
29/01/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,977500673,29/01/25,667.0,,197384.0
29/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,164009699,29/01/25,1074.0,,196310.0
30/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,817999092,30/01/25,690.0,,195620.0
30/01/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,615012404,30/01/25,1228.0,,194392.0
30/01/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,253045456,30/01/25,153.0,,194239.0
31/01/25,POS 4218XXXX9031 INDIAN OIL PETROL,537552548,31/01/25,1478.0,,192761.0
31/01/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,762233008,31/01/25,993.0,,191768.0
31/01/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,336229670,31/01/25,432.0,,191336.0
01/02/25,NEFT-DR-GREENVIEW APARTMENTS-RENT,121910401,01/02/25,22000.0,,169336.0
01/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,541149911,01/02/25,294.0,,169042.0
02/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,638180371,02/02/25,843.0,,168199.0
02/02/25,POS 4218XXXX9031 BIGBASKET DAILY,996626802,02/02/25,1908.0,,166291.0
03/02/25,UPI-NETFLIX ENTERTAINMENT-NETFLIX@YBL,704168450,03/02/25,649.0,,165642.0
03/02/25,POS 4218XXXX9031 INDIAN OIL PETROL,596964658,03/02/25,1345.0,,164297.0
03/02/25,POS 4218XXXX9031 BIGBASKET DAILY,787030412,03/02/25,1314.0,,162983.0
03/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,361651768,03/02/25,283.0,,162700.0
04/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,604448080,04/02/25,2269.0,,160431.0
04/02/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,149259146,04/02/25,366.0,,160065.0
04/02/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,830594139,04/02/25,406.0,,159659.0
05/02/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,820006094,05/02/25,308.0,,159351.0
05/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,221785390,05/02/25,388.0,,158963.0
05/02/25,POS 4218XXXX9031 BIGBASKET DAILY,261682937,05/02/25,1169.0,,157794.0
06/02/25,UPI-SPOTIFY INDIA-SPOTIFY@AXIS,195073878,06/02/25,119.0,,157675.0
06/02/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,828080534,06/02/25,167.0,,157508.0
06/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,609041850,06/02/25,258.0,,157250.0
06/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,646103866,06/02/25,1027.0,,156223.0
07/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,828825492,07/02/25,186.0,,156037.0
08/02/25,POS 4218XXXX9031 BIGBASKET DAILY,627510540,08/02/25,898.0,,155139.0
09/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,354456462,09/02/25,569.0,,154570.0
09/02/25,POS 4218XXXX9031 INDIAN OIL PETROL,222501531,09/02/25,2101.0,,152469.0
09/02/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,337360550,09/02/25,802.0,,151667.0
10/02/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,486081430,10/02/25,139.0,,151528.0
11/02/25,UPI-JIO PREPAID RECHARGE-JIO@PAYTM,995143052,11/02/25,399.0,,151129.0
11/02/25,POS 4218XXXX9031 BIGBASKET DAILY,398232721,11/02/25,1564.0,,149565.0
11/02/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,389088117,11/02/25,217.0,,149348.0
11/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,853829423,11/02/25,319.0,,149029.0
12/02/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,582850802,12/02/25,117.0,,148912.0
13/02/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,298290617,13/02/25,355.0,,148557.0
13/02/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,856547350,13/02/25,1547.0,,147010.0
14/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,511485522,14/02/25,2451.0,,144559.0
14/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,614325398,14/02/25,399.0,,144160.0
14/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,265522429,14/02/25,285.0,,143875.0
15/02/25,POS 4218XXXX9031 BIGBASKET DAILY,933793840,15/02/25,689.0,,143186.0
15/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,397031738,15/02/25,431.0,,142755.0
15/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,318853434,15/02/25,572.0,,142183.0
16/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,226195404,16/02/25,2188.0,,139995.0
16/02/25,POS 4218XXXX9031 BIGBASKET DAILY,447410704,16/02/25,1001.0,,138994.0
16/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,351878843,16/02/25,731.0,,138263.0
17/02/25,POS 4218XXXX9031 PULSE FITNESS,678148251,17/02/25,1499.0,,136764.0
17/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,140616757,17/02/25,1774.0,,134990.0
17/02/25,POS 4218XXXX9031 INDIAN OIL PETROL,720572139,17/02/25,1072.0,,133918.0
18/02/25,POS 4218XXXX9031 INDIAN OIL PETROL,552702896,18/02/25,1122.0,,132796.0
18/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,126674180,18/02/25,429.0,,132367.0
18/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,998341348,18/02/25,288.0,,132079.0
19/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,323819594,19/02/25,2437.0,,129642.0
19/02/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,680156177,19/02/25,335.0,,129307.0
20/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,339712896,20/02/25,181.0,,129126.0
20/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,901917325,20/02/25,1810.0,,127316.0
21/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,814203688,21/02/25,1043.0,,126273.0
21/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,414225044,21/02/25,1619.0,,124654.0
22/02/25,POS 4218XXXX9031 BIGBASKET DAILY,908845444,22/02/25,996.0,,123658.0
23/02/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,352903458,23/02/25,279.0,,123379.0
24/02/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,744439041,24/02/25,1475.0,,121904.0
24/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,941819471,24/02/25,2704.0,,119200.0
25/02/25,UPI-APOLLO PHARMACY-APOLLO@YBL,730639484,25/02/25,765.0,,118435.0
26/02/25,ATM WDL 4218XXXX9031 INDIRANAGAR,641405644,26/02/25,516.0,,117919.0
27/02/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,331427698,27/02/25,410.0,,117509.0
28/02/25,SALARY CREDIT-ACME TECHNOLOGIES PVT LTD,478124757,28/02/25,,96000.0,213509.0
28/02/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,652378526,28/02/25,249.0,,213260.0
28/02/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,781517465,28/02/25,791.0,,212469.0
28/02/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,718209264,28/02/25,745.0,,211724.0
01/03/25,NEFT-DR-GREENVIEW APARTMENTS-RENT,117964407,01/03/25,22000.0,,189724.0
01/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,793737410,01/03/25,105.0,,189619.0
01/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,449894949,01/03/25,173.0,,189446.0
02/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,458545539,02/03/25,544.0,,188902.0
02/03/25,POS 4218XXXX9031 INDIAN OIL PETROL,492298141,02/03/25,2378.0,,186524.0
02/03/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,953598052,02/03/25,2151.0,,184373.0
03/03/25,UPI-NETFLIX ENTERTAINMENT-NETFLIX@YBL,766142795,03/03/25,649.0,,183724.0
03/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,228823209,03/03/25,92.0,,183632.0
03/03/25,ATM WDL 4218XXXX9031 INDIRANAGAR,357798413,03/03/25,626.0,,183006.0
03/03/25,POS 4218XXXX9031 BIGBASKET DAILY,161307832,03/03/25,833.0,,182173.0
04/03/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,147962776,04/03/25,653.0,,181520.0
05/03/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,395865330,05/03/25,404.0,,181116.0
05/03/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,697658383,05/03/25,1209.0,,179907.0
05/03/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,264663368,05/03/25,911.0,,178996.0
06/03/25,UPI-SPOTIFY INDIA-SPOTIFY@AXIS,846978682,06/03/25,119.0,,178877.0
06/03/25,POS 4218XXXX9031 INDIAN OIL PETROL,652599379,06/03/25,1895.0,,176982.0
06/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,714747816,06/03/25,248.0,,176734.0
07/03/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,738335097,07/03/25,393.0,,176341.0
08/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,661550109,08/03/25,2337.0,,174004.0
09/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,818981455,09/03/25,551.0,,173453.0
09/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,586936054,09/03/25,1745.0,,171708.0
09/03/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,176571806,09/03/25,761.0,,170947.0
10/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,813249402,10/03/25,54.0,,170893.0
11/03/25,UPI-JIO PREPAID RECHARGE-JIO@PAYTM,580585621,11/03/25,399.0,,170494.0
11/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,387105625,11/03/25,358.0,,170136.0
12/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,343872110,12/03/25,195.0,,169941.0
12/03/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,274333468,12/03/25,109.0,,169832.0
13/03/25,UPI-APOLLO PHARMACY-APOLLO@YBL,206819593,13/03/25,339.0,,169493.0
14/03/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,938505927,14/03/25,398.0,,169095.0
15/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,535626641,15/03/25,59.0,,169036.0
15/03/25,POS 4218XXXX9031 BIGBASKET DAILY,532164464,15/03/25,1434.0,,167602.0
16/03/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,816235874,16/03/25,230.0,,167372.0
16/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,919854620,16/03/25,318.0,,167054.0
16/03/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,217597123,16/03/25,2428.0,,164626.0
17/03/25,POS 4218XXXX9031 PULSE FITNESS,819378050,17/03/25,1499.0,,163127.0
17/03/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,644932657,17/03/25,225.0,,162902.0
17/03/25,POS 4218XXXX9031 INDIAN OIL PETROL,888452666,17/03/25,2487.0,,160415.0
18/03/25,UPI-APOLLO PHARMACY-APOLLO@YBL,400490284,18/03/25,657.0,,159758.0
18/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,663186672,18/03/25,1779.0,,157979.0
19/03/25,POS 4218XXXX9031 BIGBASKET DAILY,207159793,19/03/25,835.0,,157144.0
20/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,233204928,20/03/25,174.0,,156970.0
20/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,582712666,20/03/25,267.0,,156703.0
21/03/25,UPI-APOLLO PHARMACY-APOLLO@YBL,299377376,21/03/25,772.0,,155931.0
21/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,939527253,21/03/25,121.0,,155810.0
22/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,736551856,22/03/25,665.0,,155145.0
23/03/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,467140388,23/03/25,478.0,,154667.0
23/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,190550344,23/03/25,2278.0,,152389.0
23/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,456721655,23/03/25,1473.0,,150916.0
24/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,680460886,24/03/25,92.0,,150824.0
24/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,170289672,24/03/25,150.0,,150674.0
25/03/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,970099498,25/03/25,1096.0,,149578.0
26/03/25,POS 4218XXXX9031 BIGBASKET DAILY,647303911,26/03/25,677.0,,148901.0
26/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,976223559,26/03/25,2708.0,,146193.0
27/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,448167879,27/03/25,380.0,,145813.0
27/03/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,821546247,27/03/25,292.0,,145521.0
28/03/25,SALARY CREDIT-ACME TECHNOLOGIES PVT LTD,607613253,28/03/25,,96000.0,241521.0
28/03/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,971820813,28/03/25,2598.0,,238923.0
28/03/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,294060519,28/03/25,156.0,,238767.0
28/03/25,ATM WDL 4218XXXX9031 INDIRANAGAR,416707514,28/03/25,1852.0,,236915.0
29/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,853235839,29/03/25,229.0,,236686.0
30/03/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,152539171,30/03/25,351.0,,236335.0
31/03/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,251143972,31/03/25,659.0,,235676.0
31/03/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,261204004,31/03/25,211.0,,235465.0
01/04/25,NEFT-DR-GREENVIEW APARTMENTS-RENT,590891898,01/04/25,22000.0,,213465.0
01/04/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,639871793,01/04/25,406.0,,213059.0
02/04/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,145843823,02/04/25,603.0,,212456.0
02/04/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,222479331,02/04/25,366.0,,212090.0
02/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,607715205,02/04/25,275.0,,211815.0
03/04/25,UPI-NETFLIX ENTERTAINMENT-NETFLIX@YBL,850409942,03/04/25,649.0,,211166.0
03/04/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,473774303,03/04/25,1900.0,,209266.0
04/04/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,952327965,04/04/25,625.0,,208641.0
04/04/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,476650583,04/04/25,307.0,,208334.0
05/04/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,302868825,05/04/25,493.0,,207841.0
05/04/25,UPI-RAPIDO BIKE TAXI-RAPIDO@OKAXIS,379317298,05/04/25,100.0,,207741.0
06/04/25,UPI-SPOTIFY INDIA-SPOTIFY@AXIS,876818829,06/04/25,119.0,,207622.0
06/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,109826805,06/04/25,253.0,,207369.0
06/04/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,731736069,06/04/25,1238.0,,206131.0
07/04/25,UPI-APOLLO PHARMACY-APOLLO@YBL,384949124,07/04/25,418.0,,205713.0
07/04/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,816943153,07/04/25,683.0,,205030.0
08/04/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,899941517,08/04/25,519.0,,204511.0
08/04/25,POS 4218XXXX9031 BIGBASKET DAILY,763048088,08/04/25,1107.0,,203404.0
09/04/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,767331535,09/04/25,215.0,,203189.0
10/04/25,POS 4218XXXX9031 INDIAN OIL PETROL,571798779,10/04/25,2100.0,,201089.0
10/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,495708963,10/04/25,349.0,,200740.0
10/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,498988659,10/04/25,1267.0,,199473.0
11/04/25,UPI-JIO PREPAID RECHARGE-JIO@PAYTM,587825213,11/04/25,399.0,,199074.0
11/04/25,POS 4218XXXX9031 INDIAN OIL PETROL,463106351,11/04/25,1863.0,,197211.0
11/04/25,UPI-THIRD WAVE COFFEE-TWC@OKHDFC,271933913,11/04/25,351.0,,196860.0
12/04/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,361438272,12/04/25,839.0,,196021.0
12/04/25,POS 4218XXXX9031 BIGBASKET DAILY,727363909,12/04/25,1783.0,,194238.0
13/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,710829815,13/04/25,245.0,,193993.0
14/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,844607832,14/04/25,502.0,,193491.0
14/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,637330744,14/04/25,374.0,,193117.0
14/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,168829697,14/04/25,206.0,,192911.0
15/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,947237352,15/04/25,2148.0,,190763.0
15/04/25,POS 4218XXXX9031 BIGBASKET DAILY,785725819,15/04/25,1668.0,,189095.0
16/04/25,UPI-SWIGGY ORDER-SWIGGY@ICICI,557860715,16/04/25,480.0,,188615.0
17/04/25,POS 4218XXXX9031 PULSE FITNESS,435398153,17/04/25,1499.0,,187116.0
17/04/25,UPI-APOLLO PHARMACY-APOLLO@YBL,965858914,17/04/25,436.0,,186680.0
17/04/25,UPI-MYNTRA DESIGNS-MYNTRA@HDFC,272481854,17/04/25,749.0,,185931.0
17/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,479886202,17/04/25,586.0,,185345.0
18/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,275011146,18/04/25,428.0,,184917.0
19/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,216482963,19/04/25,2923.0,,181994.0
19/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,727265147,19/04/25,425.0,,181569.0
19/04/25,UPI-APOLLO PHARMACY-APOLLO@YBL,989943992,19/04/25,264.0,,181305.0
20/04/25,UPI-APOLLO PHARMACY-APOLLO@YBL,932036290,20/04/25,521.0,,180784.0
20/04/25,POS 4218XXXX9031 INDIAN OIL PETROL,883140442,20/04/25,2220.0,,178564.0
21/04/25,BILLPAY-SURAKSHA HEALTH INSURANCE,536515233,21/04/25,3200.0,,175364.0
21/04/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,342036513,21/04/25,328.0,,175036.0
21/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,990241237,21/04/25,985.0,,174051.0
21/04/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,338660466,21/04/25,784.0,,173267.0
22/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,168570967,22/04/25,288.0,,172979.0
22/04/25,UPI-APOLLO PHARMACY-APOLLO@YBL,559054696,22/04/25,1087.0,,171892.0
22/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,596527199,22/04/25,301.0,,171591.0
23/04/25,UPI-UBER INDIA SYSTEMS-UBER@AXIS,561501408,23/04/25,347.0,,171244.0
23/04/25,POS 4218XXXX9031 INDIAN OIL PETROL,891635777,23/04/25,1255.0,,169989.0
23/04/25,UPI-ZOMATO ONLINE-ZOMATO@PAYTM,476224728,23/04/25,240.0,,169749.0
24/04/25,UPI-AMAZON SELLER SVCS-AMAZON@APL,627797261,24/04/25,575.0,,169174.0
25/04/25,ATM WDL 4218XXXX9031 INDIRANAGAR,825500861,25/04/25,728.0,,168446.0
26/04/25,POS 4218XXXX9031 INDIAN OIL PETROL,581054201,26/04/25,1609.0,,166837.0
26/04/25,UPI-BLINKIT GROCERY-BLINKIT@YBL,386494272,26/04/25,819.0,,166018.0
